"Month","Day","Hour","Output power (W)"
"1","1","0","0"
"1","1","1","0"
"1","1","2","0"
"1","1","3","0"
"1","1","4","0"
"1","1","5","0"
"1","1","6","0"
"1","1","7","0"
"1","1","8","9.645"
"1","1","9","80.677"
"1","1","10","172.659"
"1","1","11","243.886"
"1","1","12","269.087"
"1","1","13","242.486"
"1","1","14","173.262"
"1","1","15","84.253"
"1","1","16","15.09"
"1","1","17","0"
"1","1","18","0"
"1","1","19","0"
"1","1","20","0"
"1","1","21","0"
"1","1","22","0"
"1","1","23","0"
"1","2","0","0"
"1","2","1","0"
"1","2","2","0"
"1","2","3","0"
"1","2","4","0"
"1","2","5","0"
"1","2","6","0"
"1","2","7","0"
"1","2","8","2.096"
"1","2","9","28.992"
"1","2","10","54.735"
"1","2","11","70.647"
"1","2","12","77.516"
"1","2","13","71.619"
"1","2","14","55.824"
"1","2","15","31.258"
"1","2","16","4.728"
"1","2","17","0"
"1","2","18","0"
"1","2","19","0"
"1","2","20","0"
"1","2","21","0"
"1","2","22","0"
"1","2","23","0"
"1","3","0","0"
"1","3","1","0"
"1","3","2","0"
"1","3","3","0"
"1","3","4","0"
"1","3","5","0"
"1","3","6","0"
"1","3","7","0"
"1","3","8","9.562"
"1","3","9","82.163"
"1","3","10","175.798"
"1","3","11","252.703"
"1","3","12","282.887"
"1","3","13","255.662"
"1","3","14","181.76"
"1","3","15","87.186"
"1","3","16","17.242"
"1","3","17","0"
"1","3","18","0"
"1","3","19","0"
"1","3","20","0"
"1","3","21","0"
"1","3","22","0"
"1","3","23","0"
"1","4","0","0"
"1","4","1","0"
"1","4","2","0"
"1","4","3","0"
"1","4","4","0"
"1","4","5","0"
"1","4","6","0"
"1","4","7","0"
"1","4","8","12.796"
"1","4","9","88.975"
"1","4","10","187.838"
"1","4","11","272.941"
"1","4","12","307.485"
"1","4","13","278.013"
"1","4","14","198.363"
"1","4","15","97.29"
"1","4","16","19.796"
"1","4","17","0"
"1","4","18","0"
"1","4","19","0"
"1","4","20","0"
"1","4","21","0"
"1","4","22","0"
"1","4","23","0"
"1","5","0","0"
"1","5","1","0"
"1","5","2","0"
"1","5","3","0"
"1","5","4","0"
"1","5","5","0"
"1","5","6","0"
"1","5","7","0"
"1","5","8","12.454"
"1","5","9","80.785"
"1","5","10","166.93"
"1","5","11","234.261"
"1","5","12","260.7"
"1","5","13","237.835"
"1","5","14","176.13"
"1","5","15","89.706"
"1","5","16","19.684"
"1","5","17","0"
"1","5","18","0"
"1","5","19","0"
"1","5","20","0"
"1","5","21","0"
"1","5","22","0"
"1","5","23","0"
"1","6","0","0"
"1","6","1","0"
"1","6","2","0"
"1","6","3","0"
"1","6","4","0"
"1","6","5","0"
"1","6","6","0"
"1","6","7","0"
"1","6","8","12.982"
"1","6","9","89.735"
"1","6","10","190.149"
"1","6","11","276.151"
"1","6","12","311.23"
"1","6","13","282.517"
"1","6","14","201.652"
"1","6","15","97.786"
"1","6","16","20.726"
"1","6","17","0"
"1","6","18","0"
"1","6","19","0"
"1","6","20","0"
"1","6","21","0"
"1","6","22","0"
"1","6","23","0"
